,url,address,neighborhood,rent,beds,baths
3713,https://www.renthop.com/listings/east-73-street/1c/15187385,"415 East 73 Street, Apt 1C","Upper East Side, Upper Manhattan, Manhattan","$2,200",1_Bed,1_Bath
3714,https://www.renthop.com/listings/241-linden-blvd/3r/15777598,"241 Linden Blvd, Apt 3R","Flatbush, Central Brooklyn, Brooklyn","$2,499",3_Bed,1_Bath
3715,https://www.renthop.com/listings/first-avenue/na/15733028,First Avenue,"East Village, Downtown Manhattan, Manhattan","$4,700",3_Bed,1_Bath
3716,https://www.renthop.com/listings/1570-1st-avenue/na/15220778,1570 1st Avenue,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,400",Studio,1_Bath
3717,https://www.renthop.com/listings/222-east-44th-street/phd/15571466,"222 East 44th Street, Apt PHD","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan","$11,000",1_Bed,2_Bath
3718,https://www.renthop.com/listings/east-39th-street/na/15776405,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan","$4,152",1_Bed,1_Bath
3719,https://www.renthop.com/listings/broome-street/2/15755308,Broome Street,"Little Italy, Downtown Manhattan, Manhattan","$2,800",1_Bed,1_Bath
3720,https://www.renthop.com/listings/241-linden-blvd/3r/15777598,"241 Linden Blvd, Apt 3R","Flatbush, Central Brooklyn, Brooklyn","$2,499",3_Bed,1_Bath
3721,https://www.renthop.com/listings/first-avenue/na/15733028,First Avenue,"East Village, Downtown Manhattan, Manhattan","$4,700",3_Bed,1_Bath
3722,https://www.renthop.com/listings/1570-1st-avenue/na/15220778,1570 1st Avenue,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,400",Studio,1_Bath
3723,https://www.renthop.com/listings/222-east-44th-street/phd/15571466,"222 East 44th Street, Apt PHD","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan","$11,000",1_Bed,2_Bath
3724,https://www.renthop.com/listings/east-39th-street/na/15776405,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan","$4,152",1_Bed,1_Bath
3725,https://www.renthop.com/listings/broome-street/2/15755308,Broome Street,"Little Italy, Downtown Manhattan, Manhattan","$2,800",1_Bed,1_Bath
3726,https://www.renthop.com/listings/east-53rd-street/1a/15767485,East 53rd Street,"Midtown East, Midtown Manhattan, Manhattan","$3,395",2_Bed,1_Bath
3727,https://www.renthop.com/listings/e-55th-st/1c/15670178,E 55th St.,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan","$4,025",2_Bed,1_Bath
3728,https://www.renthop.com/listings/at-west-11th/na/10045886,At West 11th ,"Greenwich Village, Downtown Manhattan, Manhattan","$2,950",1_Bed,1_Bath
3729,https://www.renthop.com/listings/200-8th-ave-4/4/13242231,"200 8th Ave #4, Apt 4","Civic Center, Downtown Manhattan, Manhattan","$5,000",2_Bed,1_Bath
3730,https://www.renthop.com/listings/445-meeker-ave/3r/15772108,"445 Meeker Ave, Apt 3R","Greenpoint, Northern Brooklyn, Brooklyn","$1,325",Room,2_Bath
3731,https://www.renthop.com/listings/battery-place/319/15735644,Battery Place,"Battery Park City, Downtown Manhattan, Manhattan","$3,825",1_Bed,1_Bath
3732,https://www.renthop.com/listings/east-53-st/na/15697705, east 53 st ,"Midtown East, Midtown Manhattan, Manhattan","$2,150",Studio,1_Bath
3733,https://www.renthop.com/listings/west-101st-street/3-f/15766860,West 101st Street,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan","$4,200",2_Bed,1_Bath
3734,https://www.renthop.com/listings/147-west-79/na/15740995,147 West 79,"Upper West Side, Upper Manhattan, Manhattan","$4,600",1_Bed,1_Bath
3735,https://www.renthop.com/listings/229-e-80th-st/2g/15502736,"229 E 80th St., Apt 2G","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,350",Studio,1_Bath
3736,https://www.renthop.com/listings/166-2nd-ave-and-east-11-street/12g/15565571,"166 2nd Ave, Apt 12G","East Village, Downtown Manhattan, Manhattan","$3,000",Studio,1_Bath
3737,https://www.renthop.com/listings/state-st-smith-st/2a/15016070,State St & Smith St,"Boerum Hill, South Brooklyn, Brooklyn","$4,750",3_Bed,2_Bath
3738,https://www.renthop.com/listings/thayer/54d/15732006,Thayer ,"Fort George, Washington Heights, Upper Manhattan, Manhattan","$2,050",2_Bed,1_Bath
3739,https://www.renthop.com/listings/451-west-36th-street/2d/15735748,"451 West 36th Street- Solar, A...","Hell's Kitchen, Midtown Manhattan, Manhattan","$2,500",1_Bed,1_Bath
3740,https://www.renthop.com/listings/451-west-36th-street/3d/15735759,"451 West 36th Street- Solar, A...","Hell's Kitchen, Midtown Manhattan, Manhattan","$2,500",1_Bed,1_Bath
3741,https://www.renthop.com/listings/471-east-35th-street/1/15741127,"471 East 35th Street- Gway, Ap...","East Flatbush, Central Brooklyn, Brooklyn","$2,850",3_Bed,2_Bath
3742,https://www.renthop.com/listings/east-86th-street/2-e/15776380,East 86th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$12,750",3_Bed,3_Bath
3743,https://www.renthop.com/listings/columbus-avenue/15a/15752161,Columbus Avenue,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan","$4,430",2_Bed,2_Bath
3744,https://www.renthop.com/listings/east-14th-street/4b/15776403,East 14th Street,"Gramercy Park, Midtown Manhattan, Manhattan","$3,100",1_Bed,1_Bath
3745,https://www.renthop.com/listings/west-42nd-st/na/14951500, West 42nd St,"Hell's Kitchen, Midtown Manhattan, Manhattan","$7,300",2_Bed,2_Bath
3746,https://www.renthop.com/listings/e-32nd-st/7e/15720926,E 32nd St.,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan","$4,250",1_Bed,1_Bath
3747,https://www.renthop.com/listings/339-w-20th-st/1r/7870459,"339 W 20th St, Apt 1R","Chelsea, Midtown Manhattan, Manhattan","$3,000",Studio,1_Bath
3748,https://www.renthop.com/listings/46-west-85th-st/na/7310944,46 West 85th St.,"Upper West Side, Upper Manhattan, Manhattan","$3,250",1_Bed,1_Bath
3749,https://www.renthop.com/listings/west-48th-st/stn21d/15328828,West 48th St,"Theater District, Midtown Manhattan, Manhattan","$2,949",Studio,1_Bath
3750,https://www.renthop.com/listings/east-village/1/15744138,East Village,"East Village, Downtown Manhattan, Manhattan","$4,395",2_Bed,2_Bath
3751,https://www.renthop.com/listings/west-13th-street/1e/15705650,West 13th Street,"West Village, Downtown Manhattan, Manhattan","$2,575",Studio,1_Bath
3752,https://www.renthop.com/listings/east-102nd-street/3r/15713558,East 102nd Street,"East Harlem, Upper Manhattan, Manhattan","$2,495",2_Bed,1_Bath
3753,https://www.renthop.com/listings/10-hanover/11v/15685349,10 Hanover,"Financial District, Downtown Manhattan, Manhattan","$3,389",Studio,1_Bath
3754,https://www.renthop.com/listings/west-61st-street/na/13440698,West 61st Street,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$4,200",1_Bed,1_Bath
3755,https://www.renthop.com/listings/greenwich-street/235/15647516, Greenwich Street ,"West Village, Downtown Manhattan, Manhattan","$7,490",1_Bed,2_Bath
3756,https://www.renthop.com/listings/651-classon-ave/2/15775369,"651 Classon Ave, Apt 2","Crown Heights, Central Brooklyn, Brooklyn","$2,725",3_Bed,1_Bath
3757,https://www.renthop.com/listings/77-clay-street/na/15775338,77 Clay Street,"Greenpoint, Northern Brooklyn, Brooklyn","$1,250",Room,2_Bath
3758,https://www.renthop.com/listings/west-13th-street/24/14993652,West 13th Street,"West Village, Downtown Manhattan, Manhattan","$4,500",2_Bed,1_Bath
3759,https://www.renthop.com/listings/east-12th-street/8/15776864,East 12th street,"East Village, Downtown Manhattan, Manhattan","$3,900",3_Bed,1_Bath
3760,https://www.renthop.com/listings/e-58th-street/a/15693350,E 58th Street,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan","$3,895",2_Bed,1_Bath
3761,https://www.renthop.com/listings/214-west-102/3d/15722267,214 West 102,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan","$1,975",Studio,1_Bath
3762,https://www.renthop.com/listings/180-nassau-street/5k/15735617,"180 Nassau Street, Apt 5K","Downtown Brooklyn, Northwestern Brooklyn, Brooklyn","$4,500",2_Bed,2_Bath
3763,https://www.renthop.com/listings/west-24th-street/na/15701200,West 24th Street,"Chelsea, Midtown Manhattan, Manhattan","$4,199",1_Bed,1_Bath
3764,https://www.renthop.com/listings/362-11th-street/2/15774147,"362 11th Street, Apt 2","East Village, Downtown Manhattan, Manhattan","$3,987",2_Bed,2_Bath
3765,https://www.renthop.com/listings/water-street/2417/15664522,Water Street,"Financial District, Downtown Manhattan, Manhattan","$3,923",1_Bed,1_Bath
3766,https://www.renthop.com/listings/384-12th-street/2l/15718847,"384 12th Street, Apt 2L","South Slope, Park Slope, South Brooklyn, Brooklyn","$2,799",2_Bed,1_Bath
3767,https://www.renthop.com/listings/east-83rd-street/5rw/15761039,East 83rd Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,495",1_Bed,1_Bath
3768,https://www.renthop.com/listings/midtown-west/na/13186473,Midtown West,"Garment District, Midtown Manhattan, Manhattan","$5,295",2_Bed,2_Bath
3769,https://www.renthop.com/listings/410-w-53rd-street/multiple/15366885,"410 W 53rd Street, Apt MULTIPL...","Hell's Kitchen, Midtown Manhattan, Manhattan","$3,700",1_Bed,1_Bath
3770,https://www.renthop.com/listings/west-61st-street/na/15702220,West 61st Street,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$4,100",1_Bed,1_Bath
3771,https://www.renthop.com/listings/96th-st-and-west-end/na/14845856,96th St and West End,"Upper West Side, Upper Manhattan, Manhattan","$3,580",1_Bed,1_Bath
3772,https://www.renthop.com/listings/isham-and-broadway/4/14626738,"585 Isham Street, Apt 4","Inwood, Upper Manhattan, Manhattan","$2,575",2_Bed,1_Bath
3773,https://www.renthop.com/listings/9602-4th-avenue/na/15667478,9602 4th Avenue,"Bay Ridge, Southwestern Brooklyn, Brooklyn","$2,400",2_Bed,2_Bath
3774,https://www.renthop.com/listings/east-89th-street/4e/15755262,East 89th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$3,000",2_Bed,1_Bath
3775,https://www.renthop.com/listings/water-street/2316/15685430,Water Street,"Financial District, Downtown Manhattan, Manhattan","$4,258",1_Bed,1_Bath
