,neighborhood,rent,beds,baths
4892,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",3000,0,1.0
4893,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2929,0,1.0
4894,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3600,1,1.0
4895,"Alphabet City, East Village, Downtown Manhattan, Manhattan",3920,2,1.0
4896,"Alphabet City, East Village, Downtown Manhattan, Manhattan",6696,2,2.0
4897,"Bushwick, Northern Brooklyn, Brooklyn",2999,2,2.0
4898,"Hell's Kitchen, Midtown Manhattan, Manhattan",4250,1,1.0
4899,"Tribeca, Downtown Manhattan, Manhattan",3995,1,1.0
4900,"Upper East Side, Upper Manhattan, Manhattan",2350,0,1.0
4901,"East Village, Downtown Manhattan, Manhattan",4250,1,2.0
4902,"Financial District, Downtown Manhattan, Manhattan",2933,0,1.0
4903,"East Village, Downtown Manhattan, Manhattan",2490,2,1.0
4904,"East Village, Downtown Manhattan, Manhattan",3195,0,1.0
4905,"Murray Hill, Midtown Manhattan, Manhattan",4174,1,1.0
4906,"West Village, Downtown Manhattan, Manhattan",4445,1,1.0
4907,"East Harlem, Upper Manhattan, Manhattan",2200,2,1.0
4908,"Upper West Side, Upper Manhattan, Manhattan",3050,1,1.0
4909,"Battery Park City, Downtown Manhattan, Manhattan",3300,1,1.0
4910,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",4100,1,1.0
4911,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",2650,0,1.0
4912,"Hell's Kitchen, Midtown Manhattan, Manhattan",3495,1,1.0
4913,"Financial District, Downtown Manhattan, Manhattan",6855,2,2.0
4914,"Crown Heights, Central Brooklyn, Brooklyn",2050,1,1.0
4915,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3200,1,1.0
4916,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2475,1,1.0
4917,"Upper East Side, Upper Manhattan, Manhattan",22000,4,4.0
4918,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2820,2,1.0
4919,"Financial District, Downtown Manhattan, Manhattan",3190,1,1.0
4920,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3600,3,2.0
4921,"Murray Hill, Midtown Manhattan, Manhattan",3226,2,1.0
4922,"East Village, Downtown Manhattan, Manhattan",2800,0,1.0
4923,"West Village, Downtown Manhattan, Manhattan",3450,0,1.0
4924,"Astoria, Northwestern Queens, Queens",2950,3,2.0
4925,"Midtown East, Midtown Manhattan, Manhattan",2295,0,1.0
4926,"Murray Hill, Midtown Manhattan, Manhattan",2850,1,1.0
4927,"Financial District, Downtown Manhattan, Manhattan",3190,1,1.0
4928,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",2750,1,1.0
4929,"Hell's Kitchen, Midtown Manhattan, Manhattan",5789,2,2.0
4930,"Upper West Side, Upper Manhattan, Manhattan",4000,2,2.0
4931,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3495,2,1.0
4932,"NoMad, Midtown Manhattan, Manhattan",6795,1,1.0
4933,"NoMad, Midtown Manhattan, Manhattan",6495,1,1.0
4934,"Financial District, Downtown Manhattan, Manhattan",2931,0,1.0
4935,"NoMad, Midtown Manhattan, Manhattan",5660,1,1.0
4936,"Hell's Kitchen, Midtown Manhattan, Manhattan",4850,2,2.0
4937,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",3025,0,1.0
4938,"Gramercy Park, Midtown Manhattan, Manhattan",7300,2,2.0
4939,"Chelsea, Midtown Manhattan, Manhattan",5337,1,1.0
4940,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2795,0,1.0
4941,"Murray Hill, Midtown Manhattan, Manhattan",2795,0,1.0
4942,"Central Harlem, Upper Manhattan, Manhattan",2095,1,1.0
4943,"Financial District, Downtown Manhattan, Manhattan",7100,2,2.0
4944,"Inwood, Upper Manhattan, Manhattan",1459,1,1.0
4945,"West Village, Downtown Manhattan, Manhattan",3500,1,1.0
4946,"Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0
4947,"Tribeca, Downtown Manhattan, Manhattan",3505,1,1.0
4948,"Midtown East, Midtown Manhattan, Manhattan",4700,1,1.0
4949,"Midtown East, Midtown Manhattan, Manhattan",4700,1,1.0
4950,"Financial District, Downtown Manhattan, Manhattan",4006,1,1.0
4951,"Upper East Side, Upper Manhattan, Manhattan",2933,1,1.0
4952,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",6542,3,2.0
4953,"Upper East Side, Upper Manhattan, Manhattan",5895,2,2.0
4954,"Tribeca, Downtown Manhattan, Manhattan",3060,0,1.0
4955,"Tribeca, Downtown Manhattan, Manhattan",4650,2,1.0
4956,"Hell's Kitchen, Midtown Manhattan, Manhattan",1925,0,1.0
4957,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3350,1,1.0
4958,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",4330,0,1.0
4959,"East Village, Downtown Manhattan, Manhattan",2195,0,1.0
4960,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",7760,3,2.0
4961,"Murray Hill, Midtown Manhattan, Manhattan",3200,1,2.0
4962,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",2250,0,1.0
4963,"Financial District, Downtown Manhattan, Manhattan",2799,0,1.0
4964,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3500,1,1.0
4965,"Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0
4966,"Inwood, Upper Manhattan, Manhattan",1850,1,1.0
4967,"Hell's Kitchen, Midtown Manhattan, Manhattan",5350,4,2.0
4968,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",3298,1,1.0
4969,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",3274,1,1.0
4970,"Kips Bay, Midtown Manhattan, Manhattan",3400,1,1.0
4971,"Financial District, Downtown Manhattan, Manhattan",2795,0,1.0
4972,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2475,1,1.0
4973,"Theater District, Midtown Manhattan, Manhattan",3650,1,1.0
4974,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3000,1,1.0
4975,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2795,0,1.0
4976,"Financial District, Downtown Manhattan, Manhattan",4150,1,1.0
4977,"Financial District, Downtown Manhattan, Manhattan",4575,2,2.0
4978,"Chelsea, Midtown Manhattan, Manhattan",4650,1,1.0
4979,"East Village, Downtown Manhattan, Manhattan",6000,3,2.0
4980,"East Village, Downtown Manhattan, Manhattan",2695,1,1.0
4981,"Hell's Kitchen, Midtown Manhattan, Manhattan",2450,1,1.0
4982,"West Village, Downtown Manhattan, Manhattan",3750,2,1.0
4983,"Murray Hill, Midtown Manhattan, Manhattan",2980,1,1.0
4984,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3150,0,1.0
4985,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",2700,1,1.0
4986,"Kips Bay, Midtown Manhattan, Manhattan",6400,4,2.0
4987,"Tribeca, Downtown Manhattan, Manhattan",3557,0,1.0
4988,"Crown Heights, Central Brooklyn, Brooklyn",950,0,2.0
4989,"Upper East Side, Upper Manhattan, Manhattan",2933,1,1.0
4990,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3350,1,1.0
4991,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",4800,4,1.0
4992,"Murray Hill, Midtown Manhattan, Manhattan",2980,1,1.0
4993,"Murray Hill, Midtown Manhattan, Manhattan",2980,1,1.0
4994,"East Village, Downtown Manhattan, Manhattan",2700,0,1.0
4995,"East Harlem, Upper Manhattan, Manhattan",3700,1,1.0
4996,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3395,1,1.0
4997,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3095,0,1.0
4998,"Tribeca, Downtown Manhattan, Manhattan",5820,3,2.0
4999,"Hell's Kitchen, Midtown Manhattan, Manhattan",2200,0,1.0
5000,"Crown Heights, Central Brooklyn, Brooklyn",2750,3,1.0
5001,"Upper East Side, Upper Manhattan, Manhattan",3300,1,1.0
5002,"Central Harlem, Upper Manhattan, Manhattan",1875,1,1.0
5003,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",5895,2,2.0
5004,"NoMad, Midtown Manhattan, Manhattan",4600,1,1.0
5005,"Bushwick, Northern Brooklyn, Brooklyn",2750,2,2.0
5006,"Kips Bay, Midtown Manhattan, Manhattan",2775,0,1.0
5007,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",2700,2,2.0
5008,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",3000,0,1.0
5009,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2325,1,1.0
5010,"Astoria, Northwestern Queens, Queens",2000,1,1.0
5011,"Tribeca, Downtown Manhattan, Manhattan",3195,0,1.0
5012,"Upper East Side, Upper Manhattan, Manhattan",2075,0,1.0
5013,"West Village, Downtown Manhattan, Manhattan",3200,2,1.0
5014,"Battery Park City, Downtown Manhattan, Manhattan",3995,1,1.0
5015,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3200,1,1.0
5016,"Upper East Side, Upper Manhattan, Manhattan",6950,3,3.0
5017,"Tribeca, Downtown Manhattan, Manhattan",3897,1,1.0
5018,"Upper West Side, Upper Manhattan, Manhattan",3850,2,1.0
5019,"West Village, Downtown Manhattan, Manhattan",3550,0,1.0
5020,"Chelsea, Midtown Manhattan, Manhattan",2835,0,1.0
5021,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",2979,0,1.0
5022,"Chelsea, Midtown Manhattan, Manhattan",3595,1,1.0
5023,"Gramercy Park, Midtown Manhattan, Manhattan",5995,2,1.0
5024,"Lower East Side, Downtown Manhattan, Manhattan",5200,3,2.0
5025,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0
5026,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",5500,2,2.0
5027,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",5500,2,2.0
5028,"Upper East Side, Upper Manhattan, Manhattan",2350,0,1.0
5029,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",10431,2,2.0
5030,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0
5031,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2850,0,1.0
5032,"Chelsea, Midtown Manhattan, Manhattan",4200,1,1.0
5033,"Hell's Kitchen, Midtown Manhattan, Manhattan",6000,2,2.0
5034,"Williamsburg, Northern Brooklyn, Brooklyn",4070,2,2.0
5035,"Hell's Kitchen, Midtown Manhattan, Manhattan",5940,2,2.0
5036,"Kips Bay, Midtown Manhattan, Manhattan",6800,3,2.0
5037,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2150,0,1.0
5038,"East Village, Downtown Manhattan, Manhattan",2650,2,1.0
5039,"Financial District, Downtown Manhattan, Manhattan",5546,1,2.0
5040,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2375,2,1.0
5041,"Crown Heights, Central Brooklyn, Brooklyn",1999,0,1.0
5042,"Upper East Side, Upper Manhattan, Manhattan",3000,1,1.0
5043,"Murray Hill, Midtown Manhattan, Manhattan",3600,1,1.0
5044,"Murray Hill, Midtown Manhattan, Manhattan",2750,0,1.0
5045,"Financial District, Downtown Manhattan, Manhattan",5760,2,2.0
5046,"Upper East Side, Upper Manhattan, Manhattan",3995,1,1.0
5047,"Chelsea, Midtown Manhattan, Manhattan",3016,0,1.0
5048,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",2290,0,1.0
5049,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",3150,3,1.0
5050,"Hunters Point, Long Island City, Northwestern Queens, Queens",3900,1,1.0
5051,"Financial District, Downtown Manhattan, Manhattan",3150,1,1.0
5052,"Hell's Kitchen, Midtown Manhattan, Manhattan",6000,2,2.0
5053,"Financial District, Downtown Manhattan, Manhattan",3195,1,1.0
5054,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3200,1,1.0
5055,"NoLita, Downtown Manhattan, Manhattan",2875,1,1.0
5056,"Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0
5057,"Long Island City, Northwestern Queens, Queens",3995,2,2.0
5058,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",2700,2,2.0
5059,"Chelsea, Midtown Manhattan, Manhattan",4200,1,1.0
5060,"Chelsea, Midtown Manhattan, Manhattan",4500,1,1.0
5061,"Astoria, Northwestern Queens, Queens",2500,1,2.0
5062,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2375,1,1.0
5063,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",5895,1,2.0
5064,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",2495,1,1.0
5065,"Alphabet City, East Village, Downtown Manhattan, Manhattan",3295,1,1.0
5066,"West Village, Downtown Manhattan, Manhattan",4595,1,1.0
5067,"Flatbush, Central Brooklyn, Brooklyn",2325,2,1.0
5068,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",6300,3,3.0
5069,"Alphabet City, East Village, Downtown Manhattan, Manhattan",5995,3,2.0
5070,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3495,1,1.5
5071,"Theater District, Midtown Manhattan, Manhattan",2000,1,1.0
5072,"Financial District, Downtown Manhattan, Manhattan",3495,1,1.0
5073,"Washington Heights, Upper Manhattan, Manhattan",1750,0,1.0
5074,"Greenwich Village, Downtown Manhattan, Manhattan",2425,0,1.0
5075,"Bushwick, Northern Brooklyn, Brooklyn",2350,2,1.0
5076,"Long Island City, Northwestern Queens, Queens",3350,1,1.0
5077,"East Village, Downtown Manhattan, Manhattan",4325,2,1.0
5078,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3390,1,1.0
5079,"West Village, Downtown Manhattan, Manhattan",7150,1,1.0
5080,"West Village, Downtown Manhattan, Manhattan",4500,2,1.0
5081,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3600,1,1.0
5082,"Battery Park City, Downtown Manhattan, Manhattan",3447,1,1.0
5083,"Murray Hill, Midtown Manhattan, Manhattan",2750,0,1.0
5084,"West Village, Downtown Manhattan, Manhattan",2125,0,1.0
5085,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",7695,3,3.0
5086,"Hell's Kitchen, Midtown Manhattan, Manhattan",3527,1,1.0
5087,"Chelsea, Midtown Manhattan, Manhattan",4135,1,1.0
5088,"Hell's Kitchen, Midtown Manhattan, Manhattan",3300,1,1.0
5089,"Theater District, Midtown Manhattan, Manhattan",2950,0,1.0
5090,"Upper West Side, Upper Manhattan, Manhattan",13990,4,4.0
5091,"Hell's Kitchen, Midtown Manhattan, Manhattan",2500,1,1.0
5092,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2280,2,1.0
5093,"Murray Hill, Midtown Manhattan, Manhattan",2950,1,1.0
5094,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",7690,2,2.0
5095,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3531,0,1.0
5096,"Financial District, Downtown Manhattan, Manhattan",2815,0,1.0
5097,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",2500,3,1.0
5098,"West Village, Downtown Manhattan, Manhattan",5129,0,1.0
5099,"Financial District, Downtown Manhattan, Manhattan",2567,0,1.0
5100,"Hell's Kitchen, Midtown Manhattan, Manhattan",3350,1,1.0
5101,"Long Island City, Northwestern Queens, Queens",2725,1,1.0
5102,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1850,0,1.0
5103,"East Village, Downtown Manhattan, Manhattan",2399,0,1.0
5104,"Chelsea, Midtown Manhattan, Manhattan",4300,1,1.0
5105,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3595,1,1.0
5106,"Murray Hill, Midtown Manhattan, Manhattan",2300,0,1.0
5107,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2625,1,1.0
5108,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2600,0,1.0
5109,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",4275,4,2.0
5110,"Hell's Kitchen, Midtown Manhattan, Manhattan",5400,2,2.0
5111,"Central Harlem, Upper Manhattan, Manhattan",3195,4,1.0
5112,"Theater District, Midtown Manhattan, Manhattan",3175,0,1.0
5113,"Williamsburg, Northern Brooklyn, Brooklyn",4070,2,2.0
5114,"Central Harlem, Upper Manhattan, Manhattan",2250,2,1.0
5115,"Financial District, Downtown Manhattan, Manhattan",3550,1,1.0
5116,"Upper West Side, Upper Manhattan, Manhattan",2900,0,1.0
5117,"Upper West Side, Upper Manhattan, Manhattan",3795,1,1.0
5118,"East Village, Downtown Manhattan, Manhattan",3195,0,1.0
5119,"Hell's Kitchen, Midtown Manhattan, Manhattan",2495,1,1.0
5120,"Murray Hill, Midtown Manhattan, Manhattan",2750,0,1.0
5121,"Financial District, Downtown Manhattan, Manhattan",2925,1,1.0
5122,"West Village, Downtown Manhattan, Manhattan",5195,2,1.0
5123,"Kips Bay, Midtown Manhattan, Manhattan",3295,1,1.0
5124,"Lower East Side, Downtown Manhattan, Manhattan",3350,0,1.0
5125,"Upper East Side, Upper Manhattan, Manhattan",12000,3,2.5
5126,"NoLita, Downtown Manhattan, Manhattan",3750,1,1.0
5127,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2395,0,1.0
5128,"Chelsea, Midtown Manhattan, Manhattan",4700,2,1.0
5129,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1950,1,1.0
5130,"Financial District, Downtown Manhattan, Manhattan",7400,4,2.0
5131,"Financial District, Downtown Manhattan, Manhattan",5644,2,1.0
5132,"Murray Hill, Midtown Manhattan, Manhattan",4100,1,1.0
5133,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3250,0,1.0
5134,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",5300,4,2.0
5135,"Bushwick, Northern Brooklyn, Brooklyn",2800,2,1.0
5136,"Upper East Side, Upper Manhattan, Manhattan",2291,0,1.0
5137,"Battery Park City, Downtown Manhattan, Manhattan",5572,2,2.0
5138,"Central Harlem, Upper Manhattan, Manhattan",2550,2,1.0
5139,"Hell's Kitchen, Midtown Manhattan, Manhattan",1925,0,1.0
5140,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",5545,3,1.0
5141,"Upper East Side, Upper Manhattan, Manhattan",2500,1,1.0
5142,"Upper West Side, Upper Manhattan, Manhattan",3195,1,1.0
5143,"Upper East Side, Upper Manhattan, Manhattan",20000,3,3.0
5144,"Murray Hill, Midtown Manhattan, Manhattan",3795,1,1.0
5145,"Crown Heights, Central Brooklyn, Brooklyn",2500,1,1.0
5146,"Long Island City, Northwestern Queens, Queens",4664,2,2.0
5147,"Greenwich Village, Downtown Manhattan, Manhattan",3325,1,1.0
5148,"East Harlem, Upper Manhattan, Manhattan",4495,4,2.0
5149,"Financial District, Downtown Manhattan, Manhattan",3700,0,1.0
5150,"Murray Hill, Midtown Manhattan, Manhattan",7350,3,2.0
5151,"Washington Heights, Upper Manhattan, Manhattan",2800,3,1.0
5152,"Long Island City, Northwestern Queens, Queens",3593,1,1.0
5153,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3250,1,1.0
5154,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2850,1,1.0
5155,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",2300,0,1.0
5156,"Central Harlem, Upper Manhattan, Manhattan",1848,0,1.0
5157,"Hell's Kitchen, Midtown Manhattan, Manhattan",4695,3,2.0
5158,"Theater District, Midtown Manhattan, Manhattan",2600,0,1.0
5159,"Astoria, Northwestern Queens, Queens",3450,2,1.0
5160,"NoLita, Downtown Manhattan, Manhattan",3600,1,1.0
5161,"Financial District, Downtown Manhattan, Manhattan",2750,0,1.0
5162,"West Village, Downtown Manhattan, Manhattan",4500,2,1.0
5163,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",4500,2,2.0
5164,"West Village, Downtown Manhattan, Manhattan",3090,0,1.0
5165,"West Village, Downtown Manhattan, Manhattan",3090,0,1.0
5166,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1850,0,1.0
5167,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",4148,1,1.0
5168,"Hell's Kitchen, Midtown Manhattan, Manhattan",4250,1,1.0
5169,"Long Island City, Northwestern Queens, Queens",3533,1,1.0
5170,"Midtown East, Midtown Manhattan, Manhattan",3800,1,1.0
5171,"Alphabet City, East Village, Downtown Manhattan, Manhattan",5495,3,1.0
5172,"Upper East Side, Upper Manhattan, Manhattan",1850,0,1.0
5173,"Chelsea, Midtown Manhattan, Manhattan",5460,1,1.0
5174,"Upper East Side, Upper Manhattan, Manhattan",1925,0,1.0
5175,"West Village, Downtown Manhattan, Manhattan",5725,1,1.0
5176,"Flatbush, Central Brooklyn, Brooklyn",2000,0,1.0
5177,"East Village, Downtown Manhattan, Manhattan",5000,1,1.0
5178,"Murray Hill, Midtown Manhattan, Manhattan",3200,1,1.0
5179,"Gramercy Park, Midtown Manhattan, Manhattan",3350,0,1.0
5180,"East Village, Downtown Manhattan, Manhattan",2800,1,1.0
5181,"Long Island City, Northwestern Queens, Queens",4150,2,1.0
5182,"West Village, Downtown Manhattan, Manhattan",4195,1,1.0
5183,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",6350,1,1.0
5184,"Long Island City, Northwestern Queens, Queens",2399,0,1.0
5185,"Hell's Kitchen, Midtown Manhattan, Manhattan",2225,0,1.0
5186,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3600,1,1.0
5187,"Hunters Point, Long Island City, Northwestern Queens, Queens",3016,0,1.0
5188,"Gramercy Park, Midtown Manhattan, Manhattan",2325,0,1.0
5189,"Long Island City, Northwestern Queens, Queens",2540,0,1.0
5190,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3800,2,1.0
5191,"Flatiron District, Midtown Manhattan, Manhattan",4500,1,1.0
5192,"Bushwick, Northern Brooklyn, Brooklyn",2300,0,1.0
5193,"Central Harlem, Upper Manhattan, Manhattan",2295,2,1.0
5194,"East Village, Downtown Manhattan, Manhattan",2650,2,1.0
5195,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3500,1,1.0
5196,"Murray Hill, Midtown Manhattan, Manhattan",3600,1,1.0
5197,"Long Island City, Northwestern Queens, Queens",3430,1,1.0
5198,"Long Island City, Northwestern Queens, Queens",3415,1,1.0
5199,"Hell's Kitchen, Midtown Manhattan, Manhattan",5095,2,2.0
5200,"Tribeca, Downtown Manhattan, Manhattan",5295,2,1.0
5201,"Hell's Kitchen, Midtown Manhattan, Manhattan",3175,2,1.0
5202,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3395,1,1.0
5203,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3200,1,1.0
5204,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",2295,0,1.0
5205,"West Village, Downtown Manhattan, Manhattan",3550,1,1.0
5206,"Theater District, Midtown Manhattan, Manhattan",3793,1,1.0
5207,"Financial District, Downtown Manhattan, Manhattan",3145,1,1.0
5208,"Bushwick, Northern Brooklyn, Brooklyn",1100,0,2.0
5209,"Hell's Kitchen, Midtown Manhattan, Manhattan",7154,2,2.0
5210,"Chelsea, Midtown Manhattan, Manhattan",3400,1,1.0
5211,"Financial District, Downtown Manhattan, Manhattan",4015,1,1.0
5212,"Theater District, Midtown Manhattan, Manhattan",3450,1,1.0
5213,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",4495,1,1.0
5214,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",2625,0,1.0
5215,"Gramercy Park, Midtown Manhattan, Manhattan",2325,1,1.0
5216,"Upper East Side, Upper Manhattan, Manhattan",1995,0,1.0
5217,"Financial District, Downtown Manhattan, Manhattan",4518,0,1.0
5218,"Financial District, Downtown Manhattan, Manhattan",4821,2,1.0
5219,"Financial District, Downtown Manhattan, Manhattan",7100,3,1.0
5220,"Hell's Kitchen, Midtown Manhattan, Manhattan",4000,1,1.0
5221,"Financial District, Downtown Manhattan, Manhattan",5416,2,1.0
5222,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",4000,1,1.0
5223,"Murray Hill, Midtown Manhattan, Manhattan",3375,1,1.0
5224,"Financial District, Downtown Manhattan, Manhattan",3155,0,1.0
5225,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",5250,1,1.0
5226,"Tribeca, Downtown Manhattan, Manhattan",3195,0,1.0
5227,"West Village, Downtown Manhattan, Manhattan",4295,1,1.0
5228,"Inwood, Upper Manhattan, Manhattan",1900,1,1.0
5229,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",4000,3,1.0
5230,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3320,1,1.0
5231,"Central Harlem, Upper Manhattan, Manhattan",3942,4,3.0
5232,"Theater District, Midtown Manhattan, Manhattan",2550,0,1.0
5233,"Hell's Kitchen, Midtown Manhattan, Manhattan",6100,2,2.0
5234,"Hell's Kitchen, Midtown Manhattan, Manhattan",2300,1,1.0
5235,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",7475,3,3.0
5236,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3395,1,1.0
5237,"NoLita, Downtown Manhattan, Manhattan",3388,1,1.0
5238,"Hell's Kitchen, Midtown Manhattan, Manhattan",4900,2,2.0
5239,"Astoria, Northwestern Queens, Queens",2900,1,1.0
5240,"Hell's Kitchen, Midtown Manhattan, Manhattan",2900,1,1.0
5241,"Upper West Side, Upper Manhattan, Manhattan",3150,0,2.0
5242,"Financial District, Downtown Manhattan, Manhattan",3867,1,1.0
5243,"Financial District, Downtown Manhattan, Manhattan",5190,1,1.0
5244,"Upper West Side, Upper Manhattan, Manhattan",5000,2,2.0
5245,"Hell's Kitchen, Midtown Manhattan, Manhattan",2500,1,1.0
5246,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",1725,1,1.0
5247,"Upper East Side, Upper Manhattan, Manhattan",2175,0,1.0
5248,"Upper East Side, Upper Manhattan, Manhattan",2575,2,1.0
5249,"Financial District, Downtown Manhattan, Manhattan",3125,0,1.0
5250,"Hunters Point, Long Island City, Northwestern Queens, Queens",4670,2,2.0
5251,"Long Island City, Northwestern Queens, Queens",3172,1,1.0
5252,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",2875,1,1.0
5253,"Upper East Side, Upper Manhattan, Manhattan",3895,1,1.0
5254,"Hell's Kitchen, Midtown Manhattan, Manhattan",4000,1,1.0
5255,"West Village, Downtown Manhattan, Manhattan",2495,0,1.0
5256,"Williamsburg, Northern Brooklyn, Brooklyn",2765,0,1.0
5257,"Kips Bay, Midtown Manhattan, Manhattan",3350,1,1.0
5258,"Chelsea, Midtown Manhattan, Manhattan",5850,1,1.0
5259,"Hunters Point, Long Island City, Northwestern Queens, Queens",3593,1,1.0
5260,"Chelsea, Midtown Manhattan, Manhattan",4199,1,1.0
5261,"East Harlem, Upper Manhattan, Manhattan",2295,1,1.0
5262,"Chelsea, Midtown Manhattan, Manhattan",5450,3,2.0
5263,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3375,2,1.0
5264,"Crown Heights, Central Brooklyn, Brooklyn",2350,2,1.0
5265,"Hell's Kitchen, Midtown Manhattan, Manhattan",2800,0,1.0
5266,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",12000,3,3.0
5267,"Midtown East, Midtown Manhattan, Manhattan",4600,1,1.0
5268,"NoMad, Midtown Manhattan, Manhattan",5231,3,1.0
