,neighborhood,rent,beds,baths
122,"Hell's Kitchen, Midtown Manhattan, Manhattan",3500,1,1.0
123,"Central Harlem, Upper Manhattan, Manhattan",2400,1,1.0
124,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3300,0,1.0
125,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",3399,2,1.0
126,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",1950,1,1.0
127,"Financial District, Downtown Manhattan, Manhattan",4006,1,1.0
128,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2222,1,1.0
129,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2190,2,1.0
130,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2177,0,1.0
131,"West Village, Downtown Manhattan, Manhattan",3450,0,1.0
132,"East Village, Downtown Manhattan, Manhattan",3495,2,1.0
133,"West Village, Downtown Manhattan, Manhattan",5725,1,1.0
134,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",2950,1,1.0
135,"Hell's Kitchen, Midtown Manhattan, Manhattan",7288,2,1.0
136,"Financial District, Downtown Manhattan, Manhattan",2888,0,1.0
137,"Central Harlem, Upper Manhattan, Manhattan",2750,1,1.0
138,"Long Island City, Northwestern Queens, Queens",3536,1,1.0
139,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2599,3,2.0
140,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",1950,1,1.0
141,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2131,1,1.0
142,"Financial District, Downtown Manhattan, Manhattan",3663,2,1.0
143,"Financial District, Downtown Manhattan, Manhattan",3022,0,1.0
144,"Upper West Side, Upper Manhattan, Manhattan",3350,1,1.0
145,"Financial District, Downtown Manhattan, Manhattan",3642,1,1.0
146,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3167,2,2.0
147,"Williamsburg, Northern Brooklyn, Brooklyn",6322,2,2.0
148,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",3700,3,2.0
149,"Hell's Kitchen, Midtown Manhattan, Manhattan",3204,0,1.0
150,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",1875,1,1.0
151,"Murray Hill, Midtown Manhattan, Manhattan",3000,0,1.0
152,"Crown Heights, Central Brooklyn, Brooklyn",2200,1,1.0
153,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3495,1,1.0
154,"West Village, Downtown Manhattan, Manhattan",5095,1,1.0
155,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",2595,3,1.0
156,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2200,2,1.0
157,"Financial District, Downtown Manhattan, Manhattan",2869,0,1.0
158,"Long Island City, Northwestern Queens, Queens",3246,1,1.0
159,"Williamsburg, Northern Brooklyn, Brooklyn",4034,1,1.0
160,"Upper East Side, Upper Manhattan, Manhattan",2900,1,1.0
161,"Battery Park City, Downtown Manhattan, Manhattan",4095,1,1.0
162,"Bushwick, Northern Brooklyn, Brooklyn",2800,2,1.0
163,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",2300,2,1.0
164,"Central Harlem, Upper Manhattan, Manhattan",2875,3,2.0
165,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",1725,1,1.0
166,"Financial District, Downtown Manhattan, Manhattan",3923,1,1.0
167,"Astoria, Northwestern Queens, Queens",2200,1,1.0
168,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",1950,2,1.0
169,"Washington Heights, Upper Manhattan, Manhattan",2900,4,1.0
170,"Hell's Kitchen, Midtown Manhattan, Manhattan",2765,0,1.0
171,"East Village, Downtown Manhattan, Manhattan",2800,0,1.0
172,"Long Island City, Northwestern Queens, Queens",2504,0,1.0
173,"Upper West Side, Upper Manhattan, Manhattan",3195,1,1.0
174,"Long Island City, Northwestern Queens, Queens",3193,1,1.0
175,"Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",1870,1,1.0
176,"Hell's Kitchen, Midtown Manhattan, Manhattan",2993,0,1.0
177,"Murray Hill, Midtown Manhattan, Manhattan",3250,2,1.0
178,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",2100,1,1.0
179,"West Village, Downtown Manhattan, Manhattan",23000,4,3.0
180,"Financial District, Downtown Manhattan, Manhattan",3112,0,1.0
181,"Hell's Kitchen, Midtown Manhattan, Manhattan",1542,0,2.0
182,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",3969,1,1.0
183,"Long Island City, Northwestern Queens, Queens",3722,1,1.0
184,"East Village, Downtown Manhattan, Manhattan",6995,4,1.0
185,"Sutton Place, Midtown East, Midtown Manhattan, Manhattan",7696,3,3.0
186,"Upper East Side, Upper Manhattan, Manhattan",2250,0,1.0
187,"Washington Heights, Upper Manhattan, Manhattan",3500,3,1.0
188,"Long Island City, Northwestern Queens, Queens",2575,0,1.0
189,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3500,2,1.0
190,"Williamsburg, Northern Brooklyn, Brooklyn",3000,2,1.0
191,"Hell's Kitchen, Midtown Manhattan, Manhattan",2850,2,1.0
192,"Murray Hill, Midtown Manhattan, Manhattan",3512,0,1.0
193,"Theater District, Midtown Manhattan, Manhattan",5000,2,2.0
194,"Hunters Point, Long Island City, Northwestern Queens, Queens",5500,3,3.0
195,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",2400,1,1.0
196,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",2295,2,1.0
197,"Chelsea, Midtown Manhattan, Manhattan",3088,0,1.0
198,"Theater District, Midtown Manhattan, Manhattan",3761,1,1.0
199,"East Harlem, Upper Manhattan, Manhattan",1995,1,1.0
200,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3714,1,1.0
201,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",1750,0,1.0
202,"Financial District, Downtown Manhattan, Manhattan",3111,0,1.0
203,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3195,1,1.0
204,"Upper West Side, Upper Manhattan, Manhattan",7000,2,2.0
205,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2700,2,1.0
206,"East Village, Downtown Manhattan, Manhattan",4595,3,1.0
207,"Financial District, Downtown Manhattan, Manhattan",3050,0,1.0
208,"Long Island City, Northwestern Queens, Queens",3332,1,1.0
209,"Upper East Side, Upper Manhattan, Manhattan",2250,0,1.0
210,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1850,0,1.0
211,"West Village, Downtown Manhattan, Manhattan",4200,1,1.0
212,"Chelsea, Midtown Manhattan, Manhattan",4500,1,1.0
213,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3781,3,1.0
214,"Upper East Side, Upper Manhattan, Manhattan",5795,2,2.0
215,"Alphabet City, East Village, Downtown Manhattan, Manhattan",3000,2,1.0
216,"Washington Heights, Upper Manhattan, Manhattan",3000,3,1.0
217,"Long Island City, Northwestern Queens, Queens",2740,1,1.0
218,"Hell's Kitchen, Midtown Manhattan, Manhattan",3646,1,1.0
219,"Crown Heights, Central Brooklyn, Brooklyn",13000,4,4.0
220,"NoMad, Midtown Manhattan, Manhattan",3400,2,1.0
221,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2250,0,1.0
222,"Midtown East, Midtown Manhattan, Manhattan",2300,0,1.0
223,"West Village, Downtown Manhattan, Manhattan",4600,2,2.0
224,"Crown Heights, Central Brooklyn, Brooklyn",2450,2,1.0
225,"Financial District, Downtown Manhattan, Manhattan",3112,0,1.0
226,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0
227,"Chelsea, Midtown Manhattan, Manhattan",4815,1,1.0
228,"Long Island City, Northwestern Queens, Queens",5720,3,2.0
229,"Upper East Side, Upper Manhattan, Manhattan",2250,1,1.0
230,"Long Island City, Northwestern Queens, Queens",2790,0,1.0
231,"Financial District, Downtown Manhattan, Manhattan",4445,1,1.0
232,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1850,0,1.0
233,"Hell's Kitchen, Midtown Manhattan, Manhattan",2350,1,1.0
234,"Financial District, Downtown Manhattan, Manhattan",5546,1,2.0
235,"East Village, Downtown Manhattan, Manhattan",3200,1,1.0
236,"Financial District, Downtown Manhattan, Manhattan",3770,1,1.0
237,"West Village, Downtown Manhattan, Manhattan",5950,2,1.0
238,"Inwood, Upper Manhattan, Manhattan",2525,2,1.0
239,"Crown Heights, Central Brooklyn, Brooklyn",2700,2,1.0
240,"Battery Park City, Downtown Manhattan, Manhattan",6500,2,2.0
241,"West Village, Downtown Manhattan, Manhattan",3400,0,1.0
242,"Midtown East, Midtown Manhattan, Manhattan",3995,1,1.0
243,"Hell's Kitchen, Midtown Manhattan, Manhattan",3369,1,1.0
244,"Financial District, Downtown Manhattan, Manhattan",7604,3,3.0
245,"Hell's Kitchen, Midtown Manhattan, Manhattan",4428,2,2.0
246,"Hunters Point, Long Island City, Northwestern Queens, Queens",3250,1,1.0
247,"Bushwick, Northern Brooklyn, Brooklyn",2400,2,1.0
248,"Upper East Side, Upper Manhattan, Manhattan",3988,1,1.0
249,"Bushwick, Northern Brooklyn, Brooklyn",2749,1,1.0
250,"East Village, Downtown Manhattan, Manhattan",3505,2,1.0
251,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3000,0,1.0
252,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",3350,3,1.0
253,"East Village, Downtown Manhattan, Manhattan",5050,3,1.0
254,"East Village, Downtown Manhattan, Manhattan",2650,1,1.0
255,"East Village, Downtown Manhattan, Manhattan",5050,3,1.0
256,"Astoria, Northwestern Queens, Queens",2200,1,1.0
257,"Financial District, Downtown Manhattan, Manhattan",3649,1,1.0
258,"Crown Heights, Central Brooklyn, Brooklyn",3175,4,1.0
259,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3150,0,1.0
260,"West Village, Downtown Manhattan, Manhattan",3995,1,1.0
261,"Theater District, Midtown Manhattan, Manhattan",3200,1,1.0
262,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3895,0,1.0
263,"Bushwick, Northern Brooklyn, Brooklyn",2975,2,1.0
264,"Upper West Side, Upper Manhattan, Manhattan",2900,0,1.0
265,"NoLita, Downtown Manhattan, Manhattan",3895,1,1.0
266,"Financial District, Downtown Manhattan, Manhattan",5615,2,2.0
267,"Battery Park City, Downtown Manhattan, Manhattan",3950,1,1.0
268,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3980,2,1.0
269,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",6350,3,2.0
270,"Financial District, Downtown Manhattan, Manhattan",5995,2,2.0
271,"Financial District, Downtown Manhattan, Manhattan",5995,2,1.0
272,"NoLita, Downtown Manhattan, Manhattan",3895,1,1.0
273,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3400,1,1.0
274,"Battery Park City, Downtown Manhattan, Manhattan",3876,1,1.0
275,"Crown Heights, Central Brooklyn, Brooklyn",2800,3,1.0
276,"Hunters Point, Long Island City, Northwestern Queens, Queens",3554,1,1.0
277,"Financial District, Downtown Manhattan, Manhattan",5995,2,2.0
278,"NoLita, Downtown Manhattan, Manhattan",3895,1,1.0
279,"Hell's Kitchen, Midtown Manhattan, Manhattan",3281,0,1.0
280,"Upper East Side, Upper Manhattan, Manhattan",3950,1,1.0
281,"Kips Bay, Midtown Manhattan, Manhattan",4000,2,1.0
282,"Murray Hill, Midtown Manhattan, Manhattan",6200,2,2.0
283,"Upper East Side, Upper Manhattan, Manhattan",2595,2,1.0
284,"Hell's Kitchen, Midtown Manhattan, Manhattan",3295,1,1.0
285,"Astoria, Northwestern Queens, Queens",2400,1,1.0
286,"Gramercy Park, Midtown Manhattan, Manhattan",5495,3,2.0
287,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",6000,2,2.0
